team_key,event_key,normalized_opr,opr,state_prov,year,week
frc2122,2017abca,0.8673628381208032,157.4509876182293,AB,2017,5.0
frc1678,2017nvlv,0.7668740155585845,139.2094125107531,NV,2017,5.0
frc987,2017nvlv,0.7491196561480106,135.98649206631677,NV,2017,5.0
frc2638,2017nyli,0.7409263915442106,134.4991818577301,NY,2017,4.0
frc2875,2017nyli,0.7374610315866829,133.87012061163435,NY,2017,4.0
frc870,2017nyli,0.8279571981449264,150.29774486993202,NY,2017,4.0
frc3419,2017nyny,0.7372237566674631,133.82704847535385,NY,2017,5.0
frc1538,2017nvlv,0.7201062493208079,130.71973476667293,NV,2017,5.0
frc1507,2017nyro,0.7618199130116609,138.2919493655012,NY,2017,2.0
frc195,2017nytr,0.7402458964694403,134.37565267607405,NY,2017,2.0
frc20,2017nytr,0.7092049175987012,128.74083346889728,NY,2017,2.0
frc3624,2017nytr,0.7173005407105593,130.21041897374627,NY,2017,2.0
frc2614,2017ohcl,0.7463477101739265,135.4833051506893,OH,2017,4.0
frc6026,2017okok,0.7575631894047271,137.5192331428629,OK,2017,3.0
frc2056,2017oncmp,0.818041937929887,148.49784355443174,ON,2017,6.0
frc303,2017nysu,0.739643310649016,134.26626623665027,NY,2017,3.0
frc2386,2017oncmp,0.7225564718339141,131.16451973741118,ON,2017,6.0
frc148,2017nvlv,0.7592370801022562,137.8230918417921,NV,2017,5.0
frc303,2017njski,0.7510757261783626,136.34157432784946,NJ,2017,4.0
frc1810,2017mokc,0.7035163684247896,127.7082002430056,MO,2017,2.0
frc1986,2017mokc,0.739612416441402,134.26065806059438,MO,2017,2.0
frc3528,2017mokc,0.760286849734038,138.01365484268544,MO,2017,2.0
frc1923,2017mrcmp,0.7359442073845399,133.5947739421966,PA,2017,5.0
frc203,2017mrcmp,0.7164172467394523,130.050076033058,PA,2017,5.0
frc225,2017mrcmp,0.7082540483711927,128.568223700082,PA,2017,5.0
frc118,2017nvlv,0.8524714441348282,154.74777670457777,NV,2017,5.0
frc3974,2017mrcmp,0.721941588778712,131.05290100064232,PA,2017,5.0
frc4561,2017nccmp,0.7248593603696567,131.58255940707576,NC,2017,4.0
frc1533,2017ncgre,0.7250460184429042,131.6164431483292,NC,2017,1.0
frc195,2017necmp,0.7253988039847378,131.68048374303518,NH,2017,5.0
frc230,2017necmp,0.7564608428391083,137.3191259353299,NH,2017,5.0
frc78,2017necmp,0.7301099458046822,132.53568977649508,NH,2017,5.0
frc2084,2017nhgrs,0.7005093261581213,127.16233667370344,NH,2017,0.0
frc708,2017mrcmp,0.713624770857074,129.54316235604003,PA,2017,5.0
frc4939,2017oncmp,0.72219325585527,131.09858572220696,ON,2017,6.0
frc5406,2017oncmp,0.7263152508336428,131.8468448725624,ON,2017,6.0
frc5428,2017oncmp,0.7035572154356902,127.71561513551066,ON,2017,6.0
frc3550,2017qcmo,0.734942349365952,133.41290825975435,QC,2017,3.0
frc2168,2017ripro,0.7654576122721879,138.95229508940724,RI,2017,3.0
frc1876,2017scmb,0.7131578944420104,129.45841102774162,SC,2017,0.0
frc3824,2017scmb,0.7047868469357457,127.93882817344723,SC,2017,0.0
frc148,2017txda,0.7050594702501742,127.98831704732788,TX,2017,1.0
frc118,2017txho,0.8100417522622645,147.04558265606832,TX,2017,2.0
frc3117,2017qcmo,0.7299679242662821,132.50990883396287,QC,2017,3.0
frc2481,2017txlu,0.707995741652275,128.52133369486788,TX,2017,0.0
frc2848,2017txwa,0.8225532287937549,149.31677096373605,TX,2017,4.0
frc2992,2017txwo,0.7211340370510207,130.90630742816086,TX,2017,4.0
frc987,2017utwv,0.7441989954030802,135.0932523977807,UT,2017,1.0
frc3238,2017wamou,0.7553406468800438,137.1157785559762,WA,2017,2.0
frc5803,2017wamou,0.7362540299582445,133.65101553806886,WA,2017,2.0
